"PLAN STUDIÓW",,,,,,,,,,,,,
"OBOWIĄZUJE OD ROKU AKADEMICKIEGO: 2022/2023 - zimowy",,,,,,,,,,,,,
WYDZIAŁ:,,,"Wydział Elektroniki, Telekomunikacji i Informatyki",,,,,,,,,,
KIERUNEK:,,,Informatyka,,,,,,,,,,
"poziom kształcenia:",,,"I stopnia - inżynierskie",,,,,,,,,,
profil:,,,ogólnoakademicki,,,,,,,,,,
"forma studiów:",,,stacjonarne,,,,,,,,,,
Lp.,O/F,"kod modułu/ przedmiotu*","nazwa zajęć","efekty kształcenia","grupa zajęć**",SEMESTR,,,,,,,
,,,,,,"forma zaliczenia","liczba godzin",,,,,,"liczba punktów ECTS"
,,,,,,,w,ć,l,p,s,razem,
7,O,PG_00059192,"Seminarium dyplomowe inżynierskie II","K6_K01 K6_K02 K6_K03 K6_U10 K6_W07","D B",Z,0,0,0,0,15,15,2
suma:,,,,,,,90,0,75,60,15,240,30
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ŁĄCZNIE,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,PRAKTYKI,,,,,,,,,,
,,,,,,,Kurs,,,,,,
,,,,,,,"Architektura systemów komputerowych (Profil)",,,,,,
,,,,,,,"SUMA GODZIN",,,,,,2576
,,,,,,,"SUMA ECTS",,,,,,214
,,,,,,,,,,,,,
,,,,,,,"Inteligentne systemy interaktywne (Profil)",,,,,,
,,,,,,,"SUMA GODZIN",,,,,,2576
,,,,,,,"SUMA ECTS",,,,,,214
,,,,,,,,,,,,,
,,,,,,,"Bazy danych (Profil)",,,,,,
,,,,,,,"SUMA GODZIN",,,,,,2576
,,,,,,,"SUMA ECTS",,,,,,214
,,,,,,,,,,,,,
,,,,,,,"Systemy geoinformatyczne (Profil)",,,,,,
,,,,,,,"SUMA GODZIN",,,,,,2576
,,,,,,,"SUMA ECTS",,,,,,214
,,,,,,,,,,,,,
,,,,,,,"Algorytmy i modelowanie systemów (Profil)",,,,,,
,,,,,,,"SUMA GODZIN",,,,,,2576
,,,,,,,"SUMA ECTS",,,,,,214
,,,,,,,,,,,,,
,,,,,,,"Teleinformatyka (Profil)",,,,,,
,,,,,,,"SUMA GODZIN",,,,,,2576
,,,,,,,"SUMA ECTS",,,,,,214
,,,,,,,,,,,,,
,,,,,,,"Bazy danych (Profil)",,,,,,
,,,,,,,"SUMA GODZIN",,,,,,2576
,,,,,,,"SUMA ECTS",,,,,,214
,,,,,,,,,,,,,
,,,,,,,"Algorytmy i modelowanie systemów (Profil)",,,,,,
,,,,,,,"SUMA GODZIN",,,,,,2576
,,,,,,,"SUMA ECTS",,,,,,214
,,,,,,,,,,,,,
,,,,,,,"Architektura systemów komputerowych (Profil)",,,,,,
,,,,,,,"SUMA GODZIN",,,,,,2576
,,,,,,,"SUMA ECTS",,,,,,214
,,,,,,,,,,,,,
